3
3|60|2|1|127
5|62|2|1|127
7|64|2|1|127
9|65|2|1|127
11|62|2|1|127
13|64|2|1|127
15|60|2|1|127
17|67|4|1|127
19|48|2|0|127
21|50|2|0|127
21|72|4|1|127
23|52|2|0|127
25|53|2|0|127
25|71|1|1|127
26|69|1|1|127
27|50|2|0|127
27|71|2|1|127
29|52|2|0|127
29|72|4|1|127
31|48|2|0|127
33|55|2|0|127
33|74|2|1|127
35|67|2|1|127
37|43|2|0|127
37|69|2|1|127
39|71|2|1|127
41|72|2|1|127
43|69|2|1|127
45|71|2|1|127
47|67|2|1|127
49|74|4|1|127
51|55|2|0|127
53|57|2|0|127
53|79|4|1|127
55|59|2|0|127
57|60|2|0|127
57|77|1|1|127
58|76|1|1|127
59|57|2|0|127
59|77|2|1|127
61|59|2|0|127
61|79|4|1|127
63|55|2|0|127
65|60|4|0|127
65|76|2|1|127
67|81|2|1|127
69|59|4|0|127
69|79|2|1|127
71|77|2|1|127
73|60|4|0|127
73|76|2|1|127
75|79|2|1|127
77|62|4|0|127
77|77|2|1|127
79|81|2|1|127
81|64|4|0|127
81|79|2|1|127
83|77|2|1|127
85|55|4|0|127
85|76|2|1|127
87|74|2|1|127
89|57|4|0|127
89|72|2|1|127
91|76|2|1|127
93|59|4|0|127
93|74|2|1|127
95|77|2|1|127
97|60|4|0|127
97|76|2|1|127
99|74|2|1|127
101|52|4|0|127
101|72|2|1|127
103|71|2|1|127
105|54|4|0|127
105|69|2|1|127
107|72|2|1|127
109|55|4|0|127
109|71|2|1|127
111|74|2|1|127
113|57|4|0|127
113|72|2|1|127
115|71|2|1|127
117|59|4|0|127
117|69|2|1|127
119|67|2|1|127
121|60|8|0|127
121|66|2|1|127
123|69|2|1|127
125|67|2|1|127
127|71|2|1|127
