title|composer|chrds|prnt|mp3|rank|year|rb|nrb|srb|aebersold|irb|irbg|
Anything Goes|Cole Porter||||754|1934|""||y||y||
Appel Direct|||||||""|||||y|
April|||||||"2_10"||||||
April In Paris|Vernon Duke||||130|1932|"1_26"||||y||
April Joy|Pat Metheny||||||"1_27"||||y||
April Skies|||||||"2_9"||||||
Are You In The Mood|||||||""|||||y|
Aren't You Glad You're You|Jimmy Van-Heusen||||||""||||y||
Arise, Her Eyes|||||||"1_28"||||||
Armageddon|||||||"1_30"||||||
Armando's Rhumba|Chick Corea|y|y|y|||"3_10"||||y||
Around Again|||||||"1_22"||||||
Artillerie Lourde|||||||""|||||y|
As Long As I Live|Harold Arlen||||365|1934|"3"||||y||
As Time Goes By|Herman Hupfeld||||266|1931|"1_31"||y|094,|y||
Ask Me Now|Thelonious Monk||||475|1951|"2_12"||||y||
At Last|Harry Warren||||869|1942|""||y||y||
At Long Last Love|Cole Porter||||909|1937|"3"||y|112,117,|y||
At Sundown|||||812|1927|"3"||||||
At The Jazz Band Ball|||||513|1918|""||||||
Au Privave|Charlie Parker||||523|1951|"1_32"||||y||
Auld Lang Syne|||||958|Trad.|""|||078,125,|||
Aunt Hagar's Blues|||||901|1920|""||||||
Aurore|||||||""|||||y|
Autumn In 3|||||||"3_12"||||||
Autumn In New York|Vernon Duke||||121|1934|"1_33"|||040,093,097,|y||
Autumn Leaves|Joseph Kosma|y|y|y|11|1947|"1_36"|1||020,044,054,067,|y|y|
Autumn Nocturne|||||||"3_13"||||||
Avalon|Jolson-Sylva-Rose||||109|1920|"2_13"|||039,079,|y|y|
Avalon Place|||||||"3_14"||||||
Away In A Manger|||||917|1887|""|||125,|||
Ay, Arriba|||||||"1_34"||||||
Azure|||||629|1937|"2"||||||
Ba-lue Bolivar Ba-lues-are|Thelonious Monk||||||"2_20"||||y||
Babik|||||||""|||||y|
Baby Won't You Please Come Home|||||205|1919|""|||080,|||
Baby, It's Cold Outside|||||898|1948|"2"|2|||||
Back In Your Own Backyard|||||451|1927|""||||||
Back Water Blues|||||982|1927|""||||||
Backstage Sally|Wayne Shorter||||||"2_14"||||y||
Bad And The Beautiful (Theme From The)|||||872|1953|""||||||
Bags And Traie|||||||"2_15"||||||
Bags' Groove|Milt Jackson||||343|1954|"2_16"||y|h,|y||
Baia|||||642|1938|""||||||
Baile De Los Negritos|||||||""|||||y|
Balance, The|Dave Holland||||||""||||y||
Ballad For Anita|||||||"3_15"||||||
Ballad For Trane|||||||"3_16"||||||
Ballade|Charlie Parker||||||""||||y||
Ballet|||||||"1_37"||||||
Ballin' The Jack|||||677|1913|""||||||
Baltimore Oriole|Hoagy Carmichael||||||""||||y||
Barbados|Charlie Parker||||627|1948|"2_17"|||069,|y||
Barbara|||||||"2_18"||||||
Bark For Barksdale|Gerry Mulligan||||||""||||y||
Basin Street Blues|Spencer Williams||||182|1928|"2_19"|1||046,|y||
Batterie|||||||"1_38"||||||
Baubles, Bangles And Beads|Borodin-Wright-Forrest||||422|1953|""||||y||
Be Bop|||||||"2_21"||||||
Be Careful It's My Heart|Irving Berlin||||||""||||y||
Be My Love|Nikolaus Brodszky||||724|1949|"3_18"||||y||
Be-bop|Dizzy Gillespie||||440|1944|"2"||||y||
Beale Street Blues|||||463|1916|""||||||
Beatrice|Sam Rivers||||||""||||y||
Beautiful Friendship|||||||"3_17"||||||
Beautiful Love|Victor Young||||592|1931|"1_39"|1|||y||
Beauty And The Beast|Wayne Shorter||||||""||||y||
Beauty And The Blast|||||||"1_40"||||||
Beethoven's Blue 3rd|||||||"2_20"||||||
Begin The Beguine|Cole Porter||||247|1935|""||y||y||
Bei Dir War Es Immer So Schoen|||||||""|||||y|
Bei Mir Bist Du Schoen||||y|967|1937|""|||||y|
Bein' Green|Joe Raposo||||||""||||y||
Belleville|||||||""|||||y|
Belleville Rendez-vous|||||||""|||||y|
Belz|||||||""|||||y|
Bemsha Swing|Thelonious Monk||||321|1952|""||||y||
Beneath It All|||||||"1_41"||||||
Benny's Tune|Lionel Loueke||||||""||||y||
Bernie's Tune|Bernie Miller|y|y|y|394|1953|"3"|1||091,|y||
Berrie's Tune|||||||"3_24"||||||
Besame Mucho|Consuelo Velazques||||294|1941|""||||y||
Beside Myself|||||||"3_20"||||||
Bess You Is My Woman|George Gershwin||||||""||||y||
Bess, You Is My Woman Now|||||539|1935|"3_22"||||||
Bessie's Blues|John Coltrane||||||"1_42"||||y||
Best Is Yet To Come, The|Cy Coleman||||878|1959|""||y||y||
Best Thing For You Is Me|Irving Berlin||||||"3_25"||||y||
Best Thing For You, The|||||789|1950|"3"||||||
Best Things In Life Are Free, The|DeSylva-Brown-Henderson||||818|1927|"3"||||y||
Better Git It In Your Soul|||||||"2_22,3_26"||||||
Better Than Anything|Loughborough-Wheat||||||""||||y||
Between The Devil And The Deep Blue Sea|Harold Arlen||||157|1931|"3"||||y||
Bewitched|Richard Rodgers||||335|1941|"1_43"||y||y||
Beyond All Limits|||||||"2_23"||||||
Beyond The Blue Horizon|Whiting-Harding||||||""||||y||
Beyond The Bluebird,|||||||"3_27"||||||
Beyond The Sea|Charles Trenet||||||""||||y||
Bidin' My Time|George Gershwin||||||""||||y||
Big Foot|||||733|1948|""||||||
Big Nick|||||||"1_44"||||||
Big P|||||||"2_404"||||||
Bill Bailey|Traditional||||||""||||y||
Bill Bailey Won't You Please Come Home|||||975|1902|""|||079,100,|||
Billet Doux|||||||""|||||y|
Billie's Bounce|Charlie Parker|||y|112|1945|"2_24"|||006,|y||
Bills' Hit Tune|||||||"2_205"||||||
Billy Boy|Traditional||||||""||||y||
Birdland|||||||"2_26"||||||
Birk's Works|Dizzy Gillespie||||603|1957|"2_37"||||y||
Birth Of The Blues|Ray Henderson||||501|1926|"2_25"||||y||
Bitter Suite In The Ozone|||||||"1_45"||||||
Black And Blue|Fats Waller||||432|1929|""|2|||y||
Black And Tan Fantasy|||||837|1927|"2_28"||||||
Black And White|||||||""|||||y|
Black Coffee|Burke-Webster||||892|1948|"1"|2|||y||
Black Diamond|||||||"1_46"||||||
Black Monday|||||||"1_2"||||||
Black Narcissus|Joe Henderson||||||"1_47"||||y||
Black Nile|Wayne Shorter||||||"1_48"||||y||
Black Orpheus|||||||"1_49"||||||
Blackberry Winter|Alec Wilder||||||""||||y||
Blame It On My Youth|Oscar Levant||||857|1934|"2"||||y||
Blessed Relief|||||||"1_50"||||||
Blood Count|||||808|1967|""|||066,|||
Bloomdido|Charlie Parker||||810|1953|"2_29"||||y||
Blue 'n' Boogie|||||548|1944|"2"||||||
Blue (And Broken Hearted)|Leslie-Handman-Clarke||||||""||||y||
Blue A La Mode|||||||"2_32"||||||
Blue And Sentimental|Livingstone-David-Basie||||327|1938|"2_30"||y|094,|y||
Blue Bossa|Kenny Dorham|y|y|y|557|1963|"1_51"|1|||y||
Blue Champagne|Watts-Ryerson-Eaton||||||""||||y||
Blue Comedy|||||||"1_52"||||||
Blue Daniel|Frank Rosolino||||||"3_28"||||y||
Blue Drag|||||||""|||||y|
Blue In Green|Miles Davis, Bill Evans||||426|1959|"1_53"|||050,|y||
Blue Lou|Irving Mills||||198|1935|""||||y||
Blue Monk|Thelonious Monk||||185|1954|"1_54"||||y||
Blue Moon|Richard Rodgers||||94|1934|"2_31"|3||034,070,|y||
Blue Room|Richard Rodgers||||429|1926|"1_55"||y|039,|y||
Blue Seven|||||||"2_33"||||||
Blue Silver|||||||"2_35"||||||
Blue Skies|Irving Berlin||||129|1927|"2"||||y||
Blue Sphere|Thelonious Monk||||||""||||y||
Blue Train|||||||"1_58"||||||
Blue Turning Grey Over You|Fats Waller||||744|1929|""||||y||
Blueberry Hill|Lewis-Stock-Rose||||602|1940|""||||y||
Bluebird|||||||"3_29"||||||
Bluehawk|Thelonious Monk||||||""||||y||
Blues Backstage|||||||"3_30"||||||
Blues By Five|||||||"2_33"||||||
Blues Clair|||||||""|||||y|
Blues Connotation|||||||"2_32"||||||
Blues Five Spot|Thelonious Monk||||||""||||y||
Blues For Alice|Charlie Parker||||||"1_57"||||y||
Blues For Dixie|||||||""|||||y|
Blues For Ike|||||||""|||||y|
Blues For Philly Joe|||||||"2_34"||||||
Blues For Wood|Woody Shaw||||||"2_34"||||y||
Blues In My Heart|||||594|1931|""||||||
Blues In The Closet|Oscar Pettiford||||543|1955|"2_36"|||h,|y||
Blues In The Night|Harold Arlen||||207|1941|""||y||y||
Blues March|Benny Golson||||||""||||y||
Bluesette|Toots Thielemans||||||"1_56"||||y||
Body And Soul|Johnny Green|y|y|y|1|1930|"1_59"|2||015,041,074,075,093,107,110,113,|y||
Bohemia After Dark|Oscar Pettiford||||875|1955|"2_406"||||y||
Bolero Blue|||||||""|||||y|
Bolivia|Cedar Walton||||||"3_31"||||y||
Boo Boo's Birthday|Thelonious Monk||||||""||||y||
Boogie Stop Shuffle|||||||"2_38"||||||
Booker's Waltz|Booker Little||||||"2_39"||||y||
Bop Boy,|||||||"3_34"||||||
Bop Shop|||||||"3_32"||||||
Boplicity|Cleo Henry||||||"1_60"||||y||
Born To Be Blue|Wells-Torme||||324|1946|"3_35"||y||y||
Bossa Antigua|Paul Desmond||||||""||||y||
Bossa Dorado|||||||""|||||y|
Bossa Rokka ,|||||||"3_36"||||||
Boston Marathon|||||||"1_61"||||||
Boulevard Of Broken Dreams|||||||""|||||y|
Boum|||||||""|||||y|
Bouncin' With Bud|Bud Powell||||529|1947|""||||y||
Bouncing With Bud|||||||"2_40"||||||
Bourbon Street Parade|Paul Barbarin||||||""||||y||
Boy Next Door, The|Martin-Blane||||||"3_37"||||y||
Brainville|||||||"1_62"||||||
Branilian Beat|||||||"2_41"||||||
Brazil|||||911|1941|"3"||||||
Brazil (Aquarela Do Brasil)|Ary Barroso||||||""||||y||
Brazilian Like|Michel Petrucciani||||||""||||y||
Brazilian Suite|Michel Petrucciani||||||""||||y||
Breeze And I, The|Ernesto Lecuona||||447|1940|"3"||||y||
Brian's Song|||||||"2_42"||||||
Bricktop|||||||""|||||y|
Bright Boy|John Bright||||||"2_43"||||y||
Bright Mississippi|Thelonious Monk||||||""||||y||
Bright Moments|||||||"2_44"||||||
Bright Size Life|Pat Metheny||||||"1_64"||||y||
Brilliant Corners|Thelonious Monk||||||"2_45"||||y||
Bring It Down To My House|||||||""|||||y|
Brise Napolitaine|||||||""|||||y|
Broadway|William-Henri-Woode||||366|1940|"1"||||y||
Broadway Blues|||||||"1_65"||||||
Brotherhood Of Man|Frank Loesser||||||""||||y||
Brown Skin Girl|||||||"2_46"||||||
Brownout|||||||"1_66"||||||
Bud Powell|Chick Corea||||||"3_38"||||y||
Bud's Blues|||||||"3_40"||||||
Bud's Bubble|||||||"2_48"||||||
Budo|Davis-Powell||||||"2_47"||||y||
Bugle Call Rag|||||224|1922|""||||||
Bunko|Lenny Niehaus||||||"2_49"||||y||
Busch-wacked|||||||"3_41"||||||
Buster Rides Again|||||||"2_37"||||||
But Beautiful|Jimmy Van-Heusen||||133|1947|"1_67"|1||023,|y||
But Not For Me|George Gershwin||||54|1930|"2_50"||y|065,075,107,|y||
Butch And Butch|Oliver Nelson||||||""||||y||
Butterfly|Herbie Hancock||||||"1_68"||||y||
Butterfly Dreams|Stanley Clarke||||||""||||y||
Buzzy|||||||"3_42"||||||
By Myself|Arthur Schwartz||||827|1937|"3_43"||||y||
Bye Bye Baby|Jule Styne||||||"3_44"||||y||
Bye Bye Blackbird|Ray Henderson||||126|1926|"2_51"|2||039,065,107,123,|y||
Bye Bye Blues|Hamm-Bennett-Lown-Gray||||499|1930|""|||079,|y||
Bye-ya|Thelonious Monk||||||""||||y||
Byrdlike|||||||"2_407"||||||
C Jam Blues||||y|148|1942|"2"|||048,|||
C'est Si Bon|Henri Betti||||||""||||y||
C'est What|||||||"2_57"||||||
C-jam Blues|Duke Ellington||||||"2_55"||||y||
C.t.a.|Jimmy Heath||||||""||||y||
Cabin In The Sky|||||549|1940|""||||||
Call Me|Tony Hatch||||||""||||y||
Call Me Irresponsible|Jimmy Van-Heusen||||||""||||y||
Can't Help Lovin' Dat Man|Jerome Kern||||339|1927|"1"||||y||
Can't We Be Friends|||||632|1929|"2_52"|||089,|||
Canadian Sunset|||||563|1956|""||||||
Candy|David-Whitney-Kramer||||716|1945|"2"||||y||
Cantaloupe Island|Herbie Hancock||||||""||||y||
Cantina Band|||||||""|||||y|
Canyon Song|||||||"1_72"||||||
Captain|||||||"1_70"||||||
Captain Marvel|Chick Corea||||||""||||y||
Caravan|Duke Ellington||||17|1936|"2_53"|3||059,|y||
Careful|||||||"2_54,3_45"||||||
Careless Love|||||787|1921|"2_55"||||||
Carioca|||||516|1933|""||||||
Catch Me|||||||"2_56"||||||
Cavalerie|||||||""|||||y|
Celia|Bud Powell||||||"3_46"||||y||
Centerpiece|||||790|1958|""||||||
Central Park West|John Coltrane||||||"1_156"||||y||
Ceora|Lee Morgan||||||"1_73"||||y||
Certain Smile, A|||||||"3_48"||||||
Chameleon|||||||"2_58"||||||
Change Partners|Irving Berlin||||926|1937|"3"||||y||
Chariots|||||||"3_49"||||||
Charleston|James Johnson||||988|1920|""||||y|y|
Charmaine|||||||""|||||y|
Chase, The|||||||"2_59"||||||
Chasin' The Bird|||||799|1947|""||||||
Chasin' The Trane|John Coltrane||||||"2_62"||||y||
Chasing Shadows|||||||""|||||y|
Chattanooga Choo Choo|||||914|1941|""||||||
Cheek To Cheek|Irving Berlin||||187|1935|"3_50"||||y||
Cheese Cake|Dexter Gordon||||||"2_60"||||y||
Cheetah|Kenny Burrell||||||""||||y||
Chega De Saudade (No More Blues)|Antonio-Carlos Jobim||||||"1_74"||||y||
Chelsea Bells|||||||"1_76"||||||
Chelsea Bridge|Billy Strayhorn||||221|1941|"1_77"|1||032,066,|y||
Cherokee|Ray Noble||||39|1938|"1_78"|2||015,061,|y||
Cherry|||||612|1928|""||||||
Cheryl|Charlie Parker||||895|1947|"3_53"||||y||
Chez Jaquet|||||||""|||||y|
Chez Moi|||||||""|||||y|
Chicago|Fred Fisher||||||""||||y||
Chicago (That Toddlin' Town)|||||541|1922|"3"|||100,|||
Chicken Feathers|||||||"1_79"||||||
Chicken, The|Pee-Wee Ellis||||||""||||y||
Children's Song|||||||"1_80"||||||
China Boy|||||288|1922|""|||||y|
Chinatown|||||||""|||||y|
Chinatown My Chinatown|||||703|1906|""||||||
Chippie|||||||"1_85"||||||
Chloe|||||441|1927|""||||||
Christmas Song, The|||||305|1946|""||||||
Christmas Swing|||||||""|||||y|
Christmas Time Is Here|||||943|1966|""||||||
Christopher Columbus|||||588|1936|""||||||
Chucho|Paquito D'Rivera||||||""||||y||
Circle|||||||"2_61"||||||
